Membership No  Date Joined  Active  
    34280      2017-9-1     no    
    45262      2015-10-25   no    
    41572      2020-4-3     no    
    96787      2015-12-1    no    
    15894      2019-8-23    no    
    41703      2017-5-13    no    
    63649      2016-11-5    no    
    96290      2017-3-13    no    
    63250      2017-12-6    no    
    95625      2016-1-8     no    
    68599      2015-7-21    no    
    42043      2017-1-18    no    
    57659      2017-1-17    no    
    66418      2015-5-21    no    
    47503      2020-10-21   no    
    93823      2018-4-7     no    
